E_GeV,A_e,A_mu,A_tau
1.000000000000000000e+11,2.113385032753898486e+03,1.979355757870317393e+04,1.327362972988543333e+03
1.258925411794171295e+11,2.258578438225356877e+03,1.993043633369592862e+04,1.416926623579604438e+03
1.584893192461110840e+11,2.411479642433727804e+03,2.007445717837126722e+04,1.511918097916888200e+03
1.995262314968882751e+11,2.572259804447603983e+03,2.022579211456061603e+04,1.612797937136777364e+03
2.511886431509582214e+11,2.741125454596935015e+03,2.038461913794647990e+04,1.719873701172524306e+03
3.162277660168379517e+11,2.918160473015452226e+03,2.055067543434541221e+04,1.833302472612234624e+03
3.981071705534985352e+11,3.103255324006908268e+03,2.072372598270711751e+04,1.952934914696656506e+03
5.011872336272714844e+11,3.294927527256622852e+03,2.090233667867170152e+04,2.076360147615155256e+03
6.309573444801943359e+11,3.491906008626764105e+03,2.108609233148057683e+04,2.202879865452403010e+03
7.943282347242821045e+11,2.341868980344548618e+03,2.127475512851594976e+04,2.332043567985291247e+03
1.000000000000000000e+12,1.016862005488199202e+03,2.138736467177244776e+04,2.273136286788727375e+03
